Year,Rank,"Pos
Rank",Draft_Rank,Player
2015,1,1,1.01,Amari Cooper
2015,2,1,1.02,Todd Gurley
2015,3,2,1.03,Melvin Gordon
2015,4,2,1.04,Kevin White
2015,5,3,1.05,DeVante Parker
2015,6,4,1.06,Nelson Agholor
2015,7,3,1.07,TJ Yeldon
2015,8,4,1.08,Ameer Abdullah
2015,9,5,1.09,Breshad Perriman
2015,10,6,1.1,Dorial Green-Beckham
2015,11,5,1.11,Tevin Coleman
2015,12,6,1.12,Duke Johnson
2015,13,7,2.01,Phillip Dorsett
2015,14,8,2.02,Devin Funchess
2015,15,7,2.03,Jay Ajayi
2015,16,8,2.04,David Johnson
2015,17,9,2.05,Jaelen Strong
2015,18,1,2.06,Jameis Winston
2015,19,2,2.07,Marcus Mariota
2015,20,1,2.08,Maxx Williams
2015,21,9,2.09,David Cobb
2015,22,10,2.1,Matt Jones
2015,23,10,2.11,Tyler Lockett
2015,24,11,2.12,Javorius Allen
2015,25,11,3.01,Chris Conley
2015,26,12,3.02,Cameron Artis-Payne
2015,27,12,3.03,Devin Smith
2015,28,13,3.04,Sammie Coates
2015,29,14,3.05,Justin Hardy
2015,30,13,3.06,Mike Davis
2015,31,14,3.07,Josh Robinson
2015,32,15,3.08,Stefon Diggs
2015,33,16,3.09,Kenny Bell
2015,34,17,3.1,DeAndre Smelter
2015,35,15,3.11,Michael Dyer
2015,36,16,3.12,Jeremy Langford
2015,37,2,4.01,Clive Walford
2015,38,18,4.02,Tre McBride
2015,39,19,4.03,Duron Carter
2015,40,3,4.04,MyCole Pruitt
2015,41,17,4.05,Karlos Williams
2015,42,18,4.06,Zach Zenner
2015,43,20,4.07,Rashad Greene
2015,44,21,4.08,Darren Waller
2015,45,19,4.09,Thomas Rawls
2015,46,22,4.1,Ty Montgomery
2015,47,23,4.11,Jamison Crowder
2015,48,24,4.12,Vince Mayle
2016,1,1,1.01,Ezekiel Elliott
2016,2,1,1.02,Laquon Treadwell
2016,3,2,1.03,Corey Coleman
2016,4,3,1.04,Josh Doctson
2016,5,4,1.05,Sterling Shepard
2016,6,5,1.06,Michael Thomas
2016,7,2,1.07,Derrick Henry
2016,8,6,1.08,Will Fuller
2016,9,7,1.09,Leonte Carroo
2016,10,8,1.1,Tyler Boyd
2016,11,3,1.11,CJ Prosise
2016,12,4,1.12,Kenneth Dixon
2016,13,5,2.01,Devontae Booker
2016,14,6,2.02,DeAndre Washington
2016,15,7,2.03,Paul Perkins
2016,16,9,2.04,Malcolm Mitchell
2016,17,8,2.05,Wendell Smallwood
2016,18,9,2.06,Jordan Howard
2016,19,10,2.07,Josh Ferguson
2016,20,11,2.08,Jonathan Williams
2016,21,10,2.09,Tajae Sharpe
2016,22,11,2.1,Braxton Miller
2016,23,1,2.11,Hunter Henry
2016,24,12,2.12,Pharoh Cooper
2016,25,12,3.01,Kenyan Drake
2016,26,13,3.02,Alex Collins
2016,27,14,3.03,Keith Marshall
2016,28,2,3.04,Austin Hooper
2016,29,1,3.05,Carson Wentz
2016,30,15,3.06,Tyler Ervin
2016,31,2,3.07,Jared Goff
2016,32,16,3.08,Kelvin Taylor
2016,33,17,3.09,Daniel Lasco
2016,34,13,3.1,Daniel Braverman
2016,35,14,3.11,Mike Thomas
2016,36,3,3.12,Paxton Lynch
2016,37,15,4.01,Demarcus Robinson
2016,38,16,4.02,Chris Moore
2016,39,17,4.03,Rashard Higgins
2017,1,1,1.01,Leonard Fournette
2017,2,1,1.02,Corey Davis
2017,3,2,1.03,Christian McCaffrey
2017,4,3,1.04,Joe Mixon
2017,5,4,1.05,Dalvin Cook
2017,6,5,1.06,Alvin Kamara
2017,7,2,1.07,Mike Williams
2017,8,6,1.08,Samaje Perine
2017,9,7,1.09,Kareem Hunt
2017,10,3,1.1,John Ross
2017,11,1,1.11,OJ Howard
2017,12,2,1.12,Evan Engram
2017,13,3,2.01,David Njoku
2017,14,4,2.02,Zay Jones
2017,15,5,2.03,JuJu Smith-Schuster
2017,16,6,2.04,Curtis Samuel
2017,17,8,2.05,D'Onta Foreman
2017,18,9,2.06,Marlon Mack
2017,19,7,2.07,Kenny Golladay
