Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2015,1,1,1.01,Amari Cooper,1.0,4.0,OAK,2015.0,WR,21.0,2023.0,0.0,5.0,8.0,140.0,0.0,1.0,0.0,0.0,1.0,14.0,41.0,0.0,667.0,9486.0,60.0,Alabama,1644.2,11.744285714285715
2015,2,1,1.02,Todd Gurley,1.0,10.0,STL,2015.0,RB,21.0,2020.0,2.0,3.0,6.0,88.0,0.0,0.0,0.0,0.0,0.0,1460.0,6082.0,67.0,243.0,2254.0,12.0,Georgia,1429.1000000000001,16.23977272727273
2015,3,2,1.03,Melvin Gordon,1.0,15.0,SDG,2015.0,RB,22.0,2023.0,0.0,2.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,1593.0,6543.0,56.0,312.0,2513.0,14.0,Wisconsin,1481.6000000000001,13.22857142857143
2015,4,2,1.04,Kevin White,1.0,7.0,CHI,2015.0,WR,23.0,2022.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,28.0,397.0,0.0,West Virginia,54.6,1.82
2015,5,3,1.05,DeVante Parker,1.0,14.0,MIA,2015.0,WR,22.0,2023.0,0.0,0.0,5.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,5660.0,27.0,Louisville,929.0,7.80672268907563
2015,6,4,1.06,Nelson Agholor,1.0,20.0,PHI,2015.0,WR,22.0,2023.0,0.0,0.0,7.0,135.0,1.0,1.0,15.0,0.0,0.0,14.0,71.0,0.0,375.0,4627.0,35.0,USC,868.8000000000001,6.435555555555556
2015,7,3,1.07,TJ Yeldon,2.0,36.0,JAX,2015.0,RB,21.0,2020.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,492.0,2005.0,6.0,185.0,1448.0,7.0,Alabama,515.8,8.596666666666666
2015,8,4,1.08,Ameer Abdullah,2.0,54.0,DET,2015.0,RB,22.0,2023.0,0.0,0.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0,428.0,1683.0,6.0,163.0,1207.0,8.0,Nebraska,454.5,3.636
2015,9,5,1.09,Breshad Perriman,1.0,26.0,BAL,2015.0,WR,21.0,2022.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,145.0,2343.0,16.0,Central Florida,404.4,5.055
2015,10,6,1.1,Dorial Green-Beckham,2.0,40.0,TEN,2015.0,WR,22.0,2016.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,941.0,6.0,Oklahoma,164.10000000000002,5.2935483870967746
2015,11,5,1.11,Tevin Coleman,3.0,73.0,ATL,2015.0,RB,22.0,2022.0,0.0,0.0,2.0,94.0,0.0,0.0,0.0,0.0,0.0,789.0,3319.0,25.0,131.0,1317.0,13.0,Indiana,757.1000000000001,8.054255319148938
2015,12,6,1.12,Duke Johnson,3.0,77.0,CLE,2015.0,RB,21.0,2022.0,0.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,532.0,2265.0,11.0,311.0,2870.0,12.0,Miami (FL),807.0,8.31958762886598
2015,13,7,2.01,Phillip Dorsett,1.0,29.0,IND,2015.0,WR,22.0,2023.0,0.0,0.0,0.0,94.0,0.0,1.0,0.0,0.0,0.0,14.0,84.0,0.0,151.0,2001.0,12.0,Miami (FL),356.0,3.7872340425531914
2015,14,8,2.02,Devin Funchess,2.0,41.0,CAR,2015.0,TE,21.0,2019.0,0.0,0.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,2265.0,21.0,Michigan,434.5,7.008064516129032
