Draft_Rank,Total Fantasy Points,Predicted Fantasy Points
1.01,1644.2,597.0669410448771
1.02,1429.1,596.1249982992886
1.03,1481.6,595.1830555537001
1.04,54.6,594.2411128081117
1.05,929.0,593.2991700625232
1.06,868.8000000000001,592.3572273169348
1.07,515.8,591.4152845713463
1.08,454.5,590.4733418257578
1.09,404.4,589.5313990801693
1.1,164.10000000000002,588.5894563345809
1.11,757.1000000000001,587.6475135889924
1.12,807.0,586.705570843404
2.01,356.0,502.8726664860302
2.02,434.5,501.93072374044164
2.03,412.0,500.9887809948532
2.04,1168.1,500.04683824926474
2.05,72.5,499.1048955036763
2.06,3045.8,498.1629527580878
2.07,2351.6,497.22101001249933
2.08,191.1,496.27906726691083
2.09,20.9,495.3371245213224
2.1,189.6,494.39518177573393
2.11,1491.9,493.4532390301455
2.12,365.8,492.511296284557
3.01,492.5,408.6783919271832
3.02,92.7,407.7364491815947
3.03,44.3,406.79450643600626
3.04,80.7,405.8525636904178
3.05,196.1,404.91062094482936
3.06,505.30000000000007,403.96867819924086
3.07,10.2,403.0267354536524
3.08,1822.7,402.0847927080639
3.1,2.8000000000000003,400.20090721688695
3.12,204.8,398.31702172571005
4.01,155.9,314.4841173683363
4.02,27.0,313.54217462274784
4.04,182.3,311.6582891315708
4.05,120.8,310.7163463859824
4.07,45.5,308.8324608948054
4.08,710.0,307.890518149217
4.1,374.1,306.0066326580401
4.11,890.6,305.0646899124515
4.12,6.2,304.12274716686306
1.01,1843.7000000000005,597.0669410448771
1.02,209.7,596.1249982992886
1.03,140.9,595.1830555537001
1.04,197.1,594.2411128081117
1.05,758.1,593.2991700625232
1.06,1154.6,592.3572273169348
1.07,1759.2,591.4152845713463
1.08,564.7,590.4733418257578
1.09,38.6,589.5313990801693
1.1,1065.6,588.5894563345809
1.11,107.9,587.6475135889924
1.12,140.8,586.705570843404
2.01,493.3,502.8726664860302
2.02,280.1,501.93072374044164
2.03,91.2,500.9887809948532
2.04,80.1,500.04683824926474
2.05,215.00000000000003,499.1048955036763
2.06,778.0,498.1629527580878
2.08,100.20000000000002,496.27906726691083
2.09,247.90000000000003,495.3371245213224
2.1,55.2,494.39518177573393
2.11,777.8,493.4532390301455
2.12,91.6,492.511296284557
3.01,907.1,408.6783919271832
3.02,389.9,407.7364491815947
3.04,702.2,405.8525636904178
3.05,3223.1000000000004,404.91062094482936
3.06,41.3,403.96867819924086
3.07,4111.4,403.0267354536524
3.09,5.300000000000001,401.14284996247545
3.1,0.0,400.20090721688695
3.11,57.7,399.2589644712985
3.12,100.7,398.31702172571005
4.01,482.6,314.4841173683363
4.02,294.9,313.54217462274784
4.03,329.9,312.60023187715933
1.01,1073.7,597.0669410448771
1.02,631.9000000000001,596.1249982992886
1.03,1811.4,595.1830555537001
1.04,1368.6,594.2411128081117
1.05,1237.9,593.2991700625232
1.06,1720.6,592.3572273169348
1.07,830.5,591.4152845713463
1.08,461.6,590.4733418257578
1.09,1087.6,589.5313990801693
1.1,196.8,588.5894563345809
1.11,354.70000000000005,587.6475135889924
1.12,839.5,586.705570843404
2.01,619.3000000000001,502.8726664860302
2.02,559.6,501.93072374044164
2.03,908.0,500.9887809948532
2.04,742.3,500.04683824926474
2.05,385.8,499.1048955036763
2.06,488.0,498.1629527580878
2.07,613.7,497.22101001249933
2.08,844.0999999999999,496.27906726691083
2.1,1156.7,494.39518177573393
2.11,1315.0,493.4532390301455
2.12,1150.9,492.511296284557
3.01,97.9,408.6783919271832
3.02,551.4,407.7364491815947
3.04,2614.1000000000004,405.8525636904178
3.05,117.9,404.91062094482936
3.06,112.5,403.96867819924086
3.07,40.400000000000006,403.0267354536524
3.08,13.900000000000002,402.0847927080639
3.09,4297.1,401.14284996247545
3.1,313.20000000000005,400.20090721688695
3.11,520.9,399.2589644712985
3.12,401.9,398.31702172571005
4.01,1784.9,314.4841173683363
4.02,490.5,313.54217462274784
4.03,150.1,312.60023187715933
4.05,1315.6,310.7163463859824
4.06,13.8,309.7744036403939
4.07,0.0,308.8324608948054
4.08,65.7,307.890518149217
4.1,14.0,306.0066326580401
4.11,11.1,305.0646899124515
4.12,1086.5,304.12274716686306
5.01,330.3,220.28984280948936
5.02,470.3,219.3479000639009
1.01,1157.1,597.0669410448771
1.02,53.9,596.1249982992886
1.03,315.8,595.1830555537001
1.04,516.2,594.2411128081117
1.06,1125.7,592.3572273169348
1.07,271.7,591.4152845713463
1.08,341.40000000000003,590.4733418257578
1.09,1102.1,589.5313990801693
1.1,726.4000000000001,588.5894563345809
1.11,822.3,587.6475135889924
1.12,855.3000000000001,586.705570843404
2.01,305.4,502.8726664860302
2.02,633.4000000000001,501.93072374044164
2.03,287.2,500.9887809948532
2.04,526.0,500.04683824926474
2.05,536.1,499.1048955036763
2.06,2791.7,498.1629527580878
2.07,212.6,497.22101001249933
2.08,171.60000000000002,496.27906726691083
2.09,2948.5,495.3371245213224
2.1,164.8,494.39518177573393
2.11,350.2,493.4532390301455
2.12,377.7000000000001,492.511296284557
3.01,126.7,408.6783919271832
3.02,331.50000000000006,407.7364491815947
3.03,644.5,406.79450643600626
3.04,170.5,405.8525636904178
3.05,169.10000000000002,404.91062094482936
3.06,552.9000000000001,403.96867819924086
3.07,2.5,403.0267354536524
3.08,1626.4,402.0847927080639
3.09,494.1,401.14284996247545
3.1,16.9,400.20090721688695
3.11,153.8,399.2589644712985
3.12,144.3,398.31702172571005
4.01,509.3,314.4841173683363
4.02,13.3,313.54217462274784
4.03,3.3000000000000003,312.60023187715933
4.04,170.20000000000002,311.6582891315708
4.05,256.4,310.7163463859824
4.06,177.20000000000002,309.7744036403939
4.07,177.8,308.8324608948054
4.08,3803.1,307.890518149217
4.09,56.8,306.9485754036285
4.1,917.0,306.0066326580401
4.11,323.6,305.0646899124515
4.12,47.8,304.12274716686306
5.01,46.5,220.28984280948936
5.02,282.6,219.3479000639009
5.03,187.5,218.40595731831235
5.05,30.8,216.52207182713545
1.01,1073.8,597.0669410448771
1.02,939.6,596.1249982992886
1.03,743.1,595.1830555537001
1.04,138.3,594.2411128081117
1.05,395.1,593.2991700625232
1.06,978.9,592.3572273169348
1.07,1049.2,591.4152845713463
1.08,208.0,590.4733418257578
1.09,663.2,589.5313990801693
