Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game,Draft_Round
2019,11,1,1.11,Kyler Murray,1.0,1.0,ARI,2019.0,QB,22.0,2023.0,0.0,2.0,4.0,65.0,1492.0,2239.0,15647.0,94.0,46.0,425.0,2448.0,26.0,0.0,7.0,0.0,Oklahoma,2438.2,37.51076923076923,1
2016,1,1,1.01,Ezekiel Elliott,1.0,4.0,DAL,2016.0,RB,21.0,2023.0,1.0,3.0,7.0,120.0,1.0,1.0,4.0,0.0,0.0,2065.0,8904.0,71.0,356.0,2649.0,14.0,Ohio St.,1843.7000000000005,15.36416666666667,1
2017,3,2,1.03,Christian McCaffrey,1.0,8.0,CAR,2017.0,RB,21.0,2023.0,2.0,3.0,4.0,91.0,2.0,4.0,84.0,2.0,0.0,1297.0,6185.0,52.0,509.0,4320.0,29.0,Stanford,1811.4,19.905494505494502,1
2016,7,2,1.07,Derrick Henry,2.0,45.0,TEN,2016.0,RB,22.0,2023.0,1.0,4.0,4.0,119.0,7.0,9.0,37.0,4.0,0.0,2030.0,9502.0,90.0,155.0,1458.0,3.0,Alabama,1759.2,14.783193277310923,1
2017,6,5,1.06,Alvin Kamara,3.0,67.0,NOR,2017.0,RB,22.0,2023.0,0.0,5.0,4.0,101.0,1.0,1.0,13.0,0.0,0.0,1315.0,5829.0,54.0,505.0,4219.0,23.0,Tennessee,1720.6,17.035643564356434,1
2015,1,1,1.01,Amari Cooper,1.0,4.0,OAK,2015.0,WR,21.0,2023.0,0.0,5.0,8.0,140.0,0.0,1.0,0.0,0.0,1.0,14.0,41.0,0.0,667.0,9486.0,60.0,Alabama,1644.2,11.744285714285716,1
2021,12,1,1.12,Trevor Lawrence,1.0,1.0,JAX,2021.0,QB,21.0,2023.0,0.0,1.0,2.0,50.0,1116.0,1750.0,11770.0,58.0,39.0,205.0,964.0,11.0,0.0,0.0,0.0,Clemson,1609.4,32.188,1
2015,3,2,1.03,Melvin Gordon,1.0,15.0,SDG,2015.0,RB,22.0,2023.0,0.0,2.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,1593.0,6543.0,56.0,312.0,2513.0,14.0,Wisconsin,1481.6,13.22857142857143,1
2015,2,1,1.02,Todd Gurley,1.0,10.0,STL,2015.0,RB,21.0,2020.0,2.0,3.0,6.0,88.0,0.0,0.0,0.0,0.0,0.0,1460.0,6082.0,67.0,243.0,2254.0,12.0,Georgia,1429.1,16.23977272727273,1
2017,4,3,1.04,Joe Mixon,2.0,48.0,CIN,2017.0,RB,21.0,2023.0,0.0,1.0,4.0,97.0,0.0,0.0,0.0,0.0,0.0,1571.0,6412.0,49.0,283.0,2139.0,13.0,Oklahoma,1368.6,14.109278350515464,1
2015,18,1,2.06,Jameis Winston,1.0,1.0,TAM,2015.0,QB,21.0,2023.0,0.0,1.0,5.0,93.0,1763.0,2882.0,22104.0,141.0,99.0,298.0,1214.0,11.0,0.0,0.0,0.0,Florida St.,3045.8,32.7505376344086,2
