Draft_Rank,Total Fantasy Points
1.01,1644.2
1.02,1429.1
1.03,1481.6
1.04,54.6
1.05,929.0
1.06,868.8000000000001
1.07,515.8
1.08,454.5
1.09,404.4
1.1,164.10000000000002
1.11,757.1000000000001
1.12,807.0
2.01,356.0
2.02,434.5
2.03,412.0
2.04,1168.1
2.05,72.5
2.06,3045.8
2.07,2351.6
2.08,191.1
2.09,20.9
2.1,189.6
2.11,1491.9
2.12,365.8
3.01,492.5
3.02,92.7
3.03,44.3
3.04,80.7
3.05,196.1
3.06,505.30000000000007
3.07,10.2
3.08,1822.7
3.09,
3.1,2.8000000000000003
3.11,
3.12,204.8
4.01,155.9
4.02,27.0
4.03,
4.04,182.3
4.05,120.8
4.06,
4.07,45.5
4.08,710.0
4.09,
4.1,374.1
4.11,890.6
4.12,6.2
1.01,1843.7000000000005
1.02,209.7
1.03,140.9
1.04,197.1
1.05,758.1
1.06,1154.6
1.07,1759.2
1.08,564.7
1.09,38.6
1.1,1065.6
1.11,107.9
1.12,140.8
2.01,493.3
2.02,280.1
2.03,91.2
2.04,80.1
2.05,215.00000000000003
2.06,778.0
2.07,
2.08,100.20000000000002
2.09,247.90000000000003
2.1,55.2
2.11,777.8
2.12,91.6
3.01,907.1
3.02,389.9
3.03,
3.04,702.2
3.05,3223.1000000000004
3.06,41.3
3.07,4111.4
3.08,
3.09,5.300000000000001
3.1,0.0
3.11,57.7
3.12,100.7
4.01,482.6
4.02,294.9
4.03,329.9
1.01,1073.7
1.02,631.9000000000001
1.03,1811.4
1.04,1368.6
1.05,1237.9
1.06,1720.6
1.07,830.5
1.08,461.6
1.09,1087.6
1.1,196.8
1.11,354.70000000000005
1.12,839.5
2.01,619.3000000000001
2.02,559.6
2.03,908.0
2.04,742.3
2.05,385.8
2.06,488.0
2.07,613.7
2.08,844.0999999999999
2.09,
2.1,1156.7
2.11,1315.0
2.12,1150.9
3.01,97.9
3.02,551.4
3.03,
3.04,2614.1000000000004
3.05,117.9
3.06,112.5
3.07,40.400000000000006
3.08,13.900000000000002
3.09,4297.1
3.1,313.20000000000005
3.11,520.9
3.12,401.9
4.01,1784.9
4.02,490.5
4.03,150.1
4.04,
4.05,1315.6
4.06,13.8
4.07,0.0
4.08,65.7
4.09,
4.1,14.0
4.11,11.1
4.12,1086.5
5.01,330.3
5.02,470.3
1.01,1157.1
1.02,53.9
1.03,315.8
1.04,516.2
1.05,
1.06,1125.7
1.07,271.7
1.08,341.40000000000003
1.09,1102.1
1.1,726.4000000000001
1.11,822.3
1.12,855.3000000000001
2.01,305.4
2.02,633.4000000000001
2.03,287.2
2.04,526.0
2.05,536.1
2.06,2791.7
2.07,212.6
2.08,171.60000000000002
2.09,2948.5
2.1,164.8
2.11,350.2
2.12,377.7000000000001
3.01,126.7
3.02,331.50000000000006
3.03,644.5
3.04,170.5
3.05,169.10000000000002
3.06,552.9000000000001
3.07,2.5
3.08,1626.4
3.09,494.1
3.1,16.9
3.11,153.8
3.12,144.3
4.01,509.3
4.02,13.3
4.03,3.3000000000000003
4.04,170.20000000000002
4.05,256.4
4.06,177.20000000000002
4.07,177.8
4.08,3803.1
4.09,56.8
4.1,917.0
4.11,323.6
4.12,47.8
5.01,46.5
5.02,282.6
5.03,187.5
5.04,
5.05,30.8
1.01,1073.8
1.02,939.6
1.03,743.1
1.04,138.3
1.05,395.1
1.06,978.9
1.07,1049.2
1.08,208.0
1.09,663.2
1.1,395.5
1.11,2438.2
1.12,43.0
2.01,890.8000000000001
2.02,489.3
2.03,691.9000000000001
2.04,191.3
2.05,759.4
2.06,80.2
2.07,425.0
2.08,460.8
2.09,110.8
2.1,874.4000000000001
2.11,0.0
2.12,59.3
3.01,211.8
3.02,795.2
3.03,60.3
3.04,
3.05,1.9
3.06,750.0
3.07,345.1
3.08,
3.09,55.3
3.1,525.2
3.11,23.4
3.12,
4.01,415.4
4.02,
4.03,1814.7
4.04,
4.05,
4.06,
4.07,50.2
4.08,
4.09,52.6
4.1,0.9
4.11,
4.12,
5.01,
5.02,555.0
5.03,273.2
5.04,92.3
5.05,12.0
5.06,15.8
5.07,45.6
5.08,5.0
5.09,
5.1,
5.11,17.0
1.01,419.5
1.02,879.2
1.03,243.9
1.04,697.6
1.05,281.1
1.06,953.8
1.07,481.1
1.08,167.2
1.09,981.6
1.1,
1.11,701.3
1.12,71.5
2.01,643.7
2.02,
2.03,88.60000000000001
2.04,470.1
2.05,405.4
2.06,
2.07,652.6
2.08,125.9
2.09,2036.8
2.01,1750.0
2.11,
2.12,426.8
3.01,54.6
3.02,207.7
3.03,
3.04,278.8
3.05,107.3
3.06,3.0
3.07,167.5
3.08,194.7
3.09,12.4
3.1,
3.11,144.9
3.12,99.3
4.01,100.1
4.02,96.7
4.03,408.1
4.04,2480.9
4.05,709.8
4.06,298.7
1.01,653.9
1.02,681.3000000000001
1.03,315.0
1.04,441.0
1.05,375.1
1.06,47.5
1.07,292.70000000000005
1.08,551.8
1.09,292.9
1.1,582.1
1.11,189.0
1.12,1609.4
2.01,
2.02,236.5
2.03,133.2
2.04,1153.4
2.05,81.6
2.06,154.8
2.07,42.7
2.08,266.7
2.09,297.20000000000005
2.1,666.3
2.11,372.8
2.12,297.4
3.01,364.1
3.02,455.2
3.03,34.1
3.04,803.8000000000001
3.05,1.3
3.06,242.1
3.07,1134.5000000000002
3.08,
3.09,50.5
3.1,4.1
3.11,0.5
3.12,19.4
1.01,358.1
1.02,285.8
1.03,373.9
1.04,103.5
1.05,345.9
1.06,350.0
1.07,82.9
1.08,81.60000000000001
1.09,315.8
1.1,311.9
1.11,211.4
1.12,230.9
2.01,225.6
2.02,360.0
2.03,22.9
2.04,52.0
2.05,276.0
2.06,143.3
2.07,75.1
2.08,171.2
2.09,
2.1,75.39999999999999
2.11,227.5
2.12,188.0
3.01,12.0
3.02,
3.03,76.0
3.04,
3.05,120.7
3.06,24.200000000000003
3.07,552.5000000000001
3.08,49.4
3.09,159.4
3.1,20.5
3.11,73.6
3.12,2.4
4.01,28.1
4.02,98.0
4.03,
4.04,267.0
4.05,190.4
4.06,470.0
4.07,
4.08,
4.09,61.7
4.01,37.400000000000006
4.11,566.1999999999999
4.12,
5.01,8.9
5.02,10.2
5.03,165.10000000000002
5.04,92.5
5.05,7.2
5.06,
5.07,165.60000000000002
5.08,
5.09,
5.01,
1.01,223.3
1.02,218.1
1.03,118.3
1.04,186.3
1.05,75.0
1.06,165.9
1.07,89.60000000000001
1.08,115.8
1.09,
1.1,111.3
1.11,38.3
1.12,192.3
2.01,26.300000000000004
2.02,85.10000000000001
2.03,63.3
2.04,175.0
2.05,359.0
2.06,127.8
2.07,55.900000000000006
2.08,57.7
2.09,183.2
2.1,123.1
2.11,574.0
2.12,48.8
3.01,33.7
3.02,58.2
3.03,93.5
3.04,46.5
3.05,14.8
3.06,
3.07,1.9
