Position,Draft_Round,Total Fantasy Points,Average Fantasy Points,Number of Players Drafted
QB,1,4158.9,1386.3,3
QB,2,17144.0,1714.4,10
QB,3,19592.0,1399.4285714285713,14
QB,4,11862.1,1482.7625,9
QB,5,17.0,17.0,2
RB,1,31403.2,668.1531914893617,47
RB,2,12682.9,362.36857142857144,36
RB,3,5093.900000000001,188.66296296296298,31
RB,4,3108.7,155.435,23
RB,5,954.4,119.3,9
TE,1,2480.5,413.4166666666667,6
TE,2,3966.9,396.69,10
TE,3,2915.2,208.22857142857143,14
TE,4,4016.2000000000003,334.68333333333334,12
TE,5,709.3000000000001,101.32857142857144,7
WR,1,23912.5,488.01020408163265,49
WR,2,16636.9,361.6717391304348,46
WR,3,7661.1,207.05675675675676,39
WR,4,4616.3,192.34583333333333,25
WR,5,1250.3000000000002,208.38333333333335,6
