Year,Rank,"Pos
Rank",,Player,,,,,,,,
2015,1,1,1.1,"Cooper, Amari (OAK, WR)® (R1)",19,18.25,16,25,"16, 17, 18, 19, 19, 25 (6)","Feb: 28.67, Mar: 27.00, Apr: 21.83, May: 21.50, Jun: 19.50, Jul: 17.33, Aug: 19.00",,
2015,2,1,1.2,"Gurley, Todd (STL, RB)® (R2)",21.67,21.5,16,28,"16, 17, 21, 22, 26, 28 (6)","Feb: 25.00, Mar: 22.50, Apr: 22.83, May: 22.83, Jun: 21.83, Jul: 21.00, Aug: 21.67",,
2015,3,2,1.3,"Gordon, Melvin (SDC, RB)® (R3)",29.67,30,25,33,"25, 26, 29, 32, 33, 33 (6)","Feb: 32.17, Mar: 32.83, Apr: 35.67, May: 31.00, Jun: 27.50, Jul: 29.00, Aug: 29.67",,
2015,4,2,1.4,"White, Kevin (CHI, WR)® (R4)",30.83,30.5,26,37,"26, 28, 29, 31, 34, 37 (6)","Feb: 41.67, Mar: 32.50, Apr: 29.17, May: 27.83, Jun: 28.67, Jul: 30.00, Aug: 30.83",,
2015,5,3,1.5,"Parker, DeVante (MIA, WR)® (R5)",36.5,36.75,30,42,"30, 32, 36, 39, 40, 42 (6)","Feb: 37.33, Mar: 43.17, Apr: 38.83, May: 40.50, Jun: 32.83, Jul: 34.17, Aug: 36.50",,
2015,6,4,1.6,"Agholor, Nelson (PHI, WR)® (R6)",42.67,40.75,37,56,"37, 37, 37, 41, 48, 56 (6)","Feb: 133.50, Mar: 132.00, Apr: 107.17, May: 57.17, Jun: 44.17, Jul: 42.67, Aug: 42.67",,
2015,7,3,1.7,"Yeldon, T.J. (JAC, RB)® (R7)",41,43.25,26,47,"26, 41, 43, 43, 46, 47 (6)","Feb: 73.00, Mar: 78.60, Apr: 69.83, May: 55.67, Jun: 46.33, Jul: 46.00, Aug: 41.00",,
2015,8,4,1.8,"Abdullah, Ameer (DET, RB)® (R8)",49.5,49.5,42,57,"42, 44, 47, 52, 55, 57 (6)","Feb: 100.50, Mar: 95.60, Apr: 85.83, May: 67.67, Jun: 58.00, Jul: 53.17, Aug: 49.50",,
2015,9,5,1.9,"Perriman, Breshad (BAL, WR)® (R9)",50,51.75,38,55,"38, 49, 52, 53, 53, 55 (6)","Feb: 191.67, Mar: 137.00, Apr: 76.83, May: 65.83, Jun: 51.83, Jul: 51.50, Aug: 50.00",,
2015,10,6,1.1,"Green-Beckham, Dorial (TEN, WR)® (R10)",56.67,57.75,44,65,"44, 56, 58, 58, 59, 65 (6)","Feb: 47.67, Mar: 45.83, Apr: 45.33, May: 47.00, Jun: 50.17, Jul: 56.33, Aug: 56.67",,
2015,11,5,1.11,"Coleman, Tevin (ATL, RB)® (R11)",66.33,67.25,51,78,"51, 59, 67, 71, 72, 78 (6)","Feb: 80.50, Mar: 86.00, Apr: 84.17, May: 62.00, Jun: 69.17, Jul: 63.50, Aug: 66.33",,
