Year,Rank,"Pos
Rank",Draft_Rank,Player
2015,1,1,1.01,"Cooper, Amari (OAK, WR)® (R1)"
2015,2,1,1.02,"Gurley, Todd (STL, RB)® (R2)"
2015,3,2,1.03,"Gordon, Melvin (SDC, RB)® (R3)"
2015,4,2,1.04,"White, Kevin (CHI, WR)® (R4)"
2015,5,3,1.05,"Parker, DeVante (MIA, WR)® (R5)"
2015,6,4,1.06,"Agholor, Nelson (PHI, WR)® (R6)"
2015,7,3,1.07,"Yeldon, T.J. (JAC, RB)® (R7)"
2015,8,4,1.08,"Abdullah, Ameer (DET, RB)® (R8)"
2015,9,5,1.09,"Perriman, Breshad (BAL, WR)® (R9)"
2015,10,6,1.10,"Green-Beckham, Dorial (TEN, WR)® (R10)"
2015,11,5,1.11,"Coleman, Tevin (ATL, RB)® (R11)"
2015,12,6,1.12,"Johnson, Duke (CLE, RB)® (R12)"
2015,13,7,2.01,"Dorsett, Phillip (IND, WR)® (R13)"
2015,14,8,2.02,"Funchess, Devin (CAR, WR)® (R14)"
2015,15,7,2.03,"Ajayi, Jay (MIA, RB)® (R15)"
2015,16,8,2.04,"Johnson, David (ARI, RB)® (R16)"
2015,17,9,2.05,"Strong, Jaelen (HOU, WR)® (R17)"
2015,18,1,2.06,"Winston, Jameis (TBB, QB)® (R18)"
2015,19,2,2.07,"Mariota, Marcus (TEN, QB)® (R19)"
2015,20,1,2.08,"Williams, Maxx (BAL, TE)® (R20)"
2015,21,9,2.09,"Cobb, David (TEN, RB)® (R21)"
2015,22,10,2.10,"Jones, Matt (WAS, RB)® (R22)"
2015,23,10,2.11,"Lockett, Tyler (SEA, WR)® (R23)"
2015,24,11,2.12,"Allen, Javorius (BAL, RB)® (R24)"
2015,25,11,3.01,"Conley, Chris (KCC, WR)® (R25)"
2015,26,12,3.02,"Artis-Payne, Cameron (CAR, RB)® (R26)"
2015,27,12,3.03,"Smith, Devin (NYJ, WR)® (R27)"
2015,28,13,3.04,"Coates, Sammie (PIT, WR)® (R28)"
2015,29,14,3.05,"Hardy, Justin (ATL, WR)® (R29)"
2015,30,13,3.06,"Davis, Mike (SFO, RB)® (R30)"
2015,31,14,3.07,"Robinson, Josh (IND, RB)® (R31)"
2015,32,15,3.08,"Diggs, Stefon (MIN, WR)® (R32)"
2015,33,16,3.09,"Bell, Kenny (TBB, WR)® (R33)"
2015,34,17,3.10,"Smelter, DeAndre (SFO, WR)® (R34)"
2015,35,15,3.11,"Dyer, Michael (FA, RB)® (R35)"
2015,36,16,3.12,"Langford, Jeremy (CHI, RB)® (R36)"
2015,37,2,4.01,"Walford, Clive (OAK, TE)® (R37)"
2015,38,18,4.02,"McBride, Tre (TEN, WR)® (R38)"
2015,39,19,4.03,"Carter, Duron (IND, WR)® (R39)"
2015,40,3,4.04,"Pruitt, MyCole (MIN, TE)® (R40)"
2015,41,17,4.05,"Williams, Karlos (BUF, RB)® (R41)"
2015,42,18,4.06,"Zenner, Zach (DET, RB)® (R42)"
2015,43,20,4.07,"Greene, Rashad (JAC, WR)® (R43)"
2015,44,21,4.08,"Waller, Darren (BAL, WR)® (R44)"
2015,45,19,4.09,"Rawls, Thomas (SEA, RB)® (R45)"
2015,46,22,4.10,"Montgomery, Ty (GBP, WR)® (R46)"
2015,47,23,4.11,"Crowder, Jamison (WAS, WR)® (R47)"
2015,48,24,4.12,"Mayle, Vince (CLE, WR)® (R48)"
2016,1,1,1.01,"Elliott, Ezekiel (DAL, RB, Age: 21)® (R1)"
2016,2,1,1.02,"Treadwell, Laquon (MIN, WR, Age: 21)® (R2)"
2016,3,2,1.03,"Coleman, Corey (CLE, WR, Age: 22)® (R3)"
2016,4,3,1.04,"Doctson, Josh (WAS, WR)® (R4)"
2016,5,4,1.05,"Shepard, Sterling (NYG, WR)® (R5)"
2016,6,5,1.06,"Thomas, Michael (NOS, WR, Age: 22)® (R6)"
2016,7,2,1.07,"Henry, Derrick (TEN, RB, Age: 22)® (R7)"
2016,8,6,1.08,"Fuller, Will (HOU, WR, Age: 22)® (R8)"
2016,9,7,1.09,"Carroo, Leonte (MIA, WR, Age: 22)® (R9)"
2016,10,8,1.10,"Boyd, Tyler (CIN, WR, Age: 22)® (R10)"
2016,11,3,1.11,"Prosise, C.J. (SEA, RB, Age: 22)® (R11)"
2016,12,4,1.12,"Dixon, Kenneth (BAL, RB, Age: 22)® (R12)"
2016,13,5,2.01,"Booker, Devontae (DEN, RB, Age: 24)® (R13)"
2016,14,6,2.02,"Washington, DeAndre (OAK, RB, Age: 23)® (R14)"
2016,15,7,2.03,"Perkins, Paul (NYG, RB, Age: 22)® (R15)"
2016,16,9,2.04,"Mitchell, Malcolm (NEP, WR, Age: 23)® (R16)"
2016,17,8,2.05,"Smallwood, Wendell (PHI, RB, Age: 22)® (R17)"
2016,18,9,2.06,"Howard, Jordan (CHI, RB, Age: 22)® (R18)"
2016,19,10,2.07,"Ferguson, Josh (IND, RB)® (R19)"
2016,20,11,2.08,"Williams, Jonathan (BUF, RB, Age: 22)® (R20)"
2016,21,10,2.09,"Sharpe, Tajae (TEN, WR, Age: 21)® (R21)"
2016,22,11,2.10,"Miller, Braxton (HOU, WR, Age: 23)® (R22)"
2016,23,1,2.11,"Henry, Hunter (SDC, TE, Age: 21)® (R23)"
2016,24,12,2.12,"Cooper, Pharoh (RAM, WR, Age: 21)® (R24)"
2016,25,12,3.01,"Drake, Kenyan (MIA, RB)® (R25)"
2016,26,13,3.02,"Collins, Alex (SEA, RB, Age: 22)® (R26)"
2016,27,14,3.03,"Marshall, Keith (WAS, RB, Age: 22)® (R27)"
2016,28,2,3.04,"Hooper, Austin (ATL, TE)® (R28)"
2016,29,1,3.05,"Wentz, Carson (PHI, QB, Age: 23)® (R29)"
2016,30,15,3.06,"Ervin, Tyler (HOU, RB, Age: 23)® (R30)"
2016,31,2,3.07,"Goff, Jared (RAM, QB, Age: 22)® (R31)"
2016,32,16,3.08,"Taylor, Kelvin (SFO, RB, Age: 23)® (R32)"
2016,33,17,3.09,"Lasco, Daniel (NOS, RB, Age: 24)® (R33)"
2016,34,13,3.10,"Braverman, Daniel (CHI, WR, Age: 23)® (R34)"
2016,35,14,3.11,"Thomas, Mike (RAM, WR, Age: 22)® (R35)"
2016,36,3,3.12,"Lynch, Paxton (DEN, QB, Age: 22)® (R36)"
2016,37,15,4.01,"Robinson, Demarcus (KCC, WR)® (R37)"
2016,38,16,4.02,"Moore, Chris (BAL, WR, Age: 23)® (R38)"
2016,39,17,4.03,"Higgins, Rashard (CLE, WR, Age: 22)® (R39)"
2017,1,1,1.01,"Fournette, Leonard (JAC, RB)® (R1)"
2017,2,1,1.02,"Davis, Corey (TEN, WR)® (R2)"
2017,3,2,1.03,"McCaffrey, Christian (CAR, RB)® (R3)"
2017,4,3,1.04,"Mixon, Joe (CIN, RB)® (R4)"
2017,5,4,1.05,"Cook, Dalvin (MIN, RB)® (R5)"
2017,6,5,1.06,"Kamara, Alvin (NOS, RB)® (R6)"
2017,7,2,1.07,"Williams, Mike (LAC, WR)® (R7)"
2017,8,6,1.08,"Perine, Samaje (WAS, RB)® (R8)"
2017,9,7,1.09,"Hunt, Kareem (KCC, RB)® (R9)"
2017,10,3,1.10,"Ross, John (CIN, WR)® (R10)"
2017,11,1,1.11,"Howard, O.J. (TBB, TE)® (R11)"
2017,12,2,1.12,"Engram, Evan (NYG, TE)® (R12)"
2017,13,3,2.01,"Njoku, David (CLE, TE)® (R13)"
2017,14,4,2.02,"Jones, Zay (BUF, WR)® (R14)"
2017,15,5,2.03,"Smith-Schuster, JuJu (PIT, WR)® (R15)"
2017,16,6,2.04,"Samuel, Curtis (CAR, WR)® (R16)"
2017,17,8,2.05,"Foreman, D'Onta (HOU, RB)® (R17)"
2017,18,9,2.06,"Mack, Marlon (IND, RB)® (R18)"
2017,19,7,2.07,"Golladay, Kenny (DET, WR, Age: 24)® (R19)"
2017,20,10,2.08,"Williams, Jamaal (GBP, RB)® (R20)"
2017,21,11,2.09,"Williams, Joe (SFO, RB)® (R21)"
2017,22,8,2.10,"Godwin, Chris (TBB, WR)® (R22)"
2017,23,9,2.11,"Kupp, Cooper (LAR, WR)® (R23)"
2017,24,12,2.12,"Conner, James (PIT, RB)® (R24)"
2017,25,13,3.01,"McNichols, Jeremy (TBB, RB)® (R25)"
2017,26,4,3.02,"Everett, Gerald (LAR, TE)® (R26)"
2017,27,10,3.03,"Henderson, Carlos (DEN, WR)® (R27)"
2017,28,1,3.04,"Watson, Deshaun (HOU, QB)® (R28)"
2017,29,5,3.05,"Shaheen, Adam (CHI, TE, Age: 23)® (R29)"
2017,30,11,3.06,"Taylor, Taywan (TEN, WR)® (R30)"
2017,31,12,3.07,"Williams, Chad (ARI, WR, Age: 23)® (R31)"
2017,32,13,3.08,"Stewart, ArDarius (NYJ, WR)® (R32)"
2017,33,2,3.09,"Mahomes, Patrick (KCC, QB)® (R33)"
2017,34,14,3.10,"Gallman, Wayne (NYG, RB)® (R34)"
2017,35,14,3.11,"Reynolds, Josh (LAR, WR)® (R35)"
2017,36,3,3.12,"Kizer, DeShone (CLE, QB)® (R36)"
2017,37,4,4.01,"Trubisky, Mitchell (CHI, QB)® (R37)"
2017,38,6,4.02,"Smith, Jonnu (TEN, TE)® (R38)"
2017,39,15,4.03,"McGuire, Elijah (NYJ, RB)® (R39)"
2017,40,16,4.04,"Pumphrey, Donnel (PHI, RB)® (R40)"
2017,41,17,4.05,"Jones, Aaron (GBP, RB, Age: 22)® (R41)"
2017,42,18,4.06,"Henderson, De'Angelo (DEN, RB, Age: 24)® (R42)"
2017,43,19,4.07,"Hood, Elijah (OAK, RB)® (R43)"
2017,44,15,4.08,"Switzer, Ryan (DAL, WR)® (R44)"
2017,45,16,4.09,"Zamora, Ishmael (FA, WR, Age: 21)® (R45)"
2017,46,7,4.10,"Butt, Jake (DEN, TE)® (R46)"
2017,47,17,4.11,"Darboh, Amara (SEA, WR)® (R47)"
2017,48,8,4.12,"Kittle, George (SFO, TE, Age: 24)® (R48)"
2017,49,18,5.01,"Westbrook, Dede (JAC, WR)® (R49)"
2017,50,20,5.02,"Cohen, Tarik (CHI, RB, Age: 22)® (R50)"
2018,1,1,1.01,"Barkley, Saquon (NYG, RB, Age: 21)® (R1)"
2018,2,2,1.02,"Guice, Derrius (WAS, RB, Age: 21)® (R2)"
2018,3,3,1.03,"Penny, Rashaad (SEA, RB, Age: 22)® (R3)"
2018,4,4,1.04,"Michel, Sony (NEP, RB, Age: 23)® (R4)"
2018,5,5,1.05,"Jones, Ronald (TBB, RB)® (R5)"
2018,6,6,1.06,"Chubb, Nick (CLE, RB, Age: 22)® (R6)"
2018,7,7,1.07,"Johnson, Kerryon (DET, RB, Age: 21)® (R7)"
2018,8,8,1.08,"Freeman, Royce (DEN, RB, Age: 22)® (R8)"
2018,9,1,1.09,"Moore, D.J. (CAR, WR)® (R9)"
2018,10,2,1.10,"Sutton, Courtland (DEN, WR, Age: 23)® (R10)"
2018,11,3,1.11,"Ridley, Calvin (ATL, WR, Age: 23)® (R11)"
2018,12,4,1.12,"Kirk, Christian (ARI, WR, Age: 22)® (R12)"
2018,13,5,2.01,"Miller, Anthony (CHI, WR, Age: 24)® (R13)"
2018,14,6,2.02,"Gallup, Michael (DAL, WR, Age: 22)® (R14)"
2018,15,7,2.03,"Washington, James (PIT, WR, Age: 22)® (R15)"
2018,16,9,2.04,"Hines, Nyheim (IND, RB, Age: 22)® (R16)"
2018,17,1,2.05,"Gesicki, Mike (MIA, TE, Age: 23)® (R17)"
2018,18,1,2.06,"Mayfield, Baker (CLE, QB, Age: 23)® (R18)"
2018,19,8,2.07,"Pettis, Dante (SFO, WR, Age: 23)® (R19)"
2018,20,10,2.08,"Wilkins, Jordan (IND, RB, Age: 24)® (R20)"
2018,21,2,2.09,"Jackson, Lamar (BAL, QB, Age: 21)® (R21)"
2018,22,11,2.10,"Ballage, Kalen (MIA, RB)® (R22)"
2018,23,9,2.11,"Smith, Tre'Quan (NOS, WR)® (R23)"
2018,24,2,2.12,"Hurst, Hayden (BAL, TE, Age: 25)® (R24)"
2018,25,10,3.01,"Callaway, Antonio (CLE, WR, Age: 21)® (R25)"
2018,26,3,3.02,"Rosen, Josh (ARI, QB, Age: 21)® (R26)"
2018,27,3,3.03,"Goedert, Dallas (PHI, TE, Age: 24)® (R27)"
2018,28,11,3.04,"Coutee, Keke (HOU, WR, Age: 21)® (R28)"
2018,29,4,3.05,"Herndon, Chris (NYJ, TE)® (R29)"
2018,30,12,3.06,"Chark, D.J. (JAC, WR, Age: 22)® (R30)"
2018,31,13,3.07,"Moore, J'Mon (GBP, WR, Age: 23)® (R31)"
2018,32,4,3.08,"Darnold, Sam (NYJ, QB, Age: 21)® (R32)"
2018,33,12,3.09,"Edmonds, Chase (ARI, RB, Age: 22)® (R33)"
2018,34,14,3.10,"Cain, Deon (IND, WR, Age: 22)® (R34)"
2018,35,15,3.11,"Hamilton, DaeSean (DEN, WR, Age: 23)® (R35)"
2018,36,16,3.12,"St. Brown, Equanimeous (GBP, WR, Age: 22)® (R36)"
2018,37,17,4.01,"Valdes-Scantling, Marquez (GBP, WR, Age: 24)® (R37)"
2018,38,13,4.02,"Kelly, John (LAR, RB, Age: 22)® (R38)"
2018,39,18,4.03,"Fountain, Daurice (IND, WR, Age: 22)® (R39)"
2018,40,14,4.04,"Smith, Ito (ATL, RB, Age: 23)® (R40)"
2018,41,15,4.05,"Jackson, Justin (LAC, RB, Age: 23)® (R41)"
2018,42,16,4.06,"Samuels, Jaylen (PIT, RB, Age: 22)® (R42)"
2018,43,19,4.07,"Watson, Justin (TBB, WR)® (R43)"
2018,44,5,4.08,"Allen, Josh (BUF, QB, Age: 22)® (R44)"
2018,45,20,4.09,"Quinn, Trey (WAS, WR, Age: 23)® (R45)"
2018,46,5,4.10,"Andrews, Mark (BAL, TE, Age: 22)® (R46)"
2018,47,17,4.11,"Scott, Boston (NOS, RB, Age: 23)® (R47)"
2018,48,18,4.12,"Scarbrough, Bo (DAL, RB, Age: 22)® (R48)"
2018,49,19,5.01,"Walton, Mark (CIN, RB)® (R49)"
2018,50,21,5.02,"Berrios, Braxton (NEP, WR, Age: 23)® (R50)"
2018,51,6,5.03,"Thomas, Ian (CAR, TE, Age: 22)® (R51)"
2018,52,20,5.04,"Lindsay, Phillip (DEN, RB)® (R52)"
2018,53,7,5.05,"Fumagalli, Troy (DEN, TE)® (R53)"
2019,1,1,1.01,"Jacobs, Josh (OAK, RB, Age: 21)® (R1)"
2019,2,2,1.02,"Montgomery, David (CHI, RB, Age: 22)® (R2)"
2019,3,3,1.03,"Sanders, Miles (PHI, RB, Age: 22)® (R3)"
2019,4,1,1.04,"Harry, N'Keal (NEP, WR, Age: 21)® (R4)"
2019,5,4,1.05,"Henderson, Darrell (LAR, RB, Age: 22)® (R5)"
2019,6,2,1.06,"Metcalf, DK (SEA, WR, Age: 22)® (R6)"
2019,7,3,1.07,"Brown, A.J. (TEN, WR)® (R7)"
2019,8,4,1.08,"Campbell, Parris (IND, WR, Age: 22)® (R8)"
2019,9,1,1.09,"Hockenson, T.J. (DET, TE, Age: 22)® (R9)"
2019,10,5,1.10,"Harris, Damien (NEP, RB, Age: 22)® (R10)"
